clean,watermarked,attack,instrument,si_snr_clean,si_snr_watermarked,delta_si_snr,snr,lsd,pesq,stoi
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0013/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0013/2_watermarked.wav,,speech,104.158356,29.119953,-75.03841,29.1252679105761,9.124211122289175,4.502621650695801,0.9993335450028299
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0014/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0014/2_watermarked.wav,,speech,103.274956,27.986233,-75.28873,27.993115862223537,9.112391365784262,4.454815864562988,0.9993624001037832
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0015/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0015/2_watermarked.wav,,speech,101.6868,31.592194,-70.094604,31.59511852530752,9.216751618023581,4.503455638885498,0.9978907330628429
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0016/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0016/2_watermarked.wav,,speech,103.144516,29.144314,-74.0002,29.14946977187769,9.003114018879058,4.489853858947754,0.9994430022108441
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0017/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0017/2_watermarked.wav,,speech,103.92961,31.135817,-72.79379,31.139131281191045,9.030024179265732,4.51483154296875,0.9994018966373229
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0018/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0018/2_watermarked.wav,,speech,106.164276,28.938675,-77.2256,28.943854446677054,9.094905544856063,4.467382907867432,0.9995962408561571
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0019/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0019/2_watermarked.wav,,speech,104.24632,26.83805,-77.40827,26.845711550320285,9.06177620567752,4.466716289520264,0.9995960331586504
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0020/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0020/2_watermarked.wav,,speech,104.90281,29.039137,-75.86367,29.044429373392052,9.142395664697606,4.456874370574951,0.9989334163592576
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0021/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0021/2_watermarked.wav,,speech,103.17244,25.472918,-77.699524,25.485066414341905,8.983471235106324,4.455374240875244,0.9996941631801481
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0022/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0022/2_watermarked.wav,,speech,104.029625,28.604195,-75.42543,28.610160190914783,9.155701445619902,4.483442306518555,0.9989692714589948
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0023/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0023/2_watermarked.wav,,speech,103.038445,26.788296,-76.25015,26.797362290278283,9.083586264998635,4.425971031188965,0.9995353437366453
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0024/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0024/2_watermarked.wav,,speech,105.431656,27.395842,-78.03581,27.40214940866295,9.175628129898266,4.434334754943848,0.9994503616161095
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0025/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0025/2_watermarked.wav,,speech,101.83617,29.50842,-72.32774,29.513278989057163,9.140176532688889,4.492410659790039,0.9988274705654343
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0026/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0026/2_watermarked.wav,,speech,104.398994,24.925392,-79.4736,24.938811701666364,9.127697732812177,4.387144088745117,0.999362611929795
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0027/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0027/2_watermarked.wav,,speech,102.284836,23.31012,-78.97472,23.3300305937668,9.100620076863933,4.480670928955078,0.9986311113449166
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0028/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0028/2_watermarked.wav,,speech,103.32508,25.107376,-78.217705,25.119154109520675,9.082237110800456,4.449695587158203,0.9996853542395728
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0029/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0029/2_watermarked.wav,,speech,97.77716,25.610085,-72.167076,25.62171632280044,9.073554855881813,4.485965728759766,0.996535664229558
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0030/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0030/2_watermarked.wav,,speech,102.576645,26.329119,-76.24753,26.33920335121219,9.092002058773385,4.417396068572998,0.999134141886403
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0031/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0031/2_watermarked.wav,,speech,100.67583,22.603857,-78.07197,22.627214305751544,9.253707273833756,4.38897705078125,0.9981961005122073
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0032/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0032/2_watermarked.wav,,speech,102.194916,26.448029,-75.74689,26.4562000016028,9.071270271703634,4.442170143127441,0.9986962668456006
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0033/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0033/2_watermarked.wav,,speech,101.74332,28.135805,-73.60751,28.14084844321945,9.276331143874287,4.523044586181641,0.9996071353968318
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0034/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0034/2_watermarked.wav,,speech,101.993904,26.466988,-75.52692,26.476758206547895,9.153902030709453,4.4603681564331055,0.9990423434949303
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0000/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0000/2_watermarked.wav,,speech,102.57705,24.16023,-78.41682,24.174019646897843,9.013023233048068,4.447994709014893,0.9991603089100707
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0001/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0001/2_watermarked.wav,,speech,104.13918,24.803484,-79.3357,24.817060326890655,9.116950164054543,4.4823150634765625,0.9996581098714312
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0002/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0002/2_watermarked.wav,,speech,106.24406,27.258564,-78.98549,27.266441571611523,9.115034190446371,4.498888969421387,0.9986455094745257
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0003/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0003/2_watermarked.wav,,speech,104.41797,23.05201,-81.36596,23.072647106773594,9.084993885564089,4.460467338562012,0.9991948221730423
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0004/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0004/2_watermarked.wav,,speech,103.8349,27.233536,-76.601364,27.241583834942222,9.049141841834148,4.483572483062744,0.9992366509920021
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0005/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0005/2_watermarked.wav,,speech,104.38267,25.214617,-79.16805,25.22663750691356,8.845530456898034,4.454514026641846,0.9988656084062358
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0006/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149897-0006/2_watermarked.wav,,speech,104.901344,26.709915,-78.19143,26.717089252393777,8.776048888270326,4.472788333892822,0.999470217345313
