dataset,attack_type,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
DAPS,phase_shift,154,3.0,2.0,0.0016142034454443436,0.005034022980263248,1.0,0.0,1.0,0.0,0.44805194805194803,0.4972940778843063,0.7905844155844156,0.25715536011844176,0.0,0.0,0.3327922077922078,0.11482162480864432,0.0,0.0,0.3299512987012987,0.12097764322655255,48.812956624216845,0.27369267067087,-24.444455852756253,10.357054067749267
DAPS,polarity,119,3.0,2.0,0.0017647416895959671,0.005401516208659271,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3429621848739496,0.12704874270844932,0.0,0.0,0.3429621848739496,0.12704874270844932,48.83123570931058,0.24692739637702119,92.33912158613445,7.1622653191928085e-06
DAPS,quantization,154,3.0,2.0,0.0012497069439849045,0.004148949182628438,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3327922077922078,0.1239573227419801,0.0,0.0,0.3287337662337662,0.12062245446922028,48.73088484925109,0.2519814192063011,64.3730525970459,9.448847339383697
DAPS,reverb,308,3.0,2.0,0.0020600578445988055,0.007346815325514735,1.0,0.0,1.0,0.0,0.9512987012987013,0.21524284472684707,0.9957386363636364,0.02123906978079508,0.0,0.0,0.3218344155844156,0.11234261798430527,0.0,0.0,0.32589285714285715,0.11439695022904617,48.78792382525159,0.2570483992831132,9.489661659513201,1.9544612549750655
DAPS,time_jitter,119,3.0,2.0,0.0018851606994787428,0.005467329593984495,1.0,0.0,1.0,0.0,0.7478991596638656,0.43421884647945586,0.9248949579831933,0.17780979444279255,0.0,0.0,0.31565126050420167,0.12149733812178784,0.0,0.0,0.3114495798319328,0.10054447142989802,48.830016320493044,0.2849489984007242,32.06909456974318,6.7092367492873155
DAPS,time_stretch,168,3.0,2.0,0.0015739333923807444,0.0038432277264215157,1.0,0.0,1.0,0.0,0.23809523809523808,0.4259177099999599,0.7034970238095238,0.22740090396059262,0.0,0.0,0.3210565476190476,0.11015360521945239,0.0,0.0,0.33630952380952384,0.12118614923513292,48.77662304469517,0.2624322016955543,-6.02047058966543,10.516972798845071
DAPS,vorbis,308,3.0,2.0,0.001103081747893765,0.0032333803445630024,1.0,0.0,1.0,0.0,0.6168831168831169,0.4861464151751894,0.8841314935064936,0.21003709416134916,0.0,0.0,0.31290584415584416,0.10766503142534194,0.0,0.0,0.3183847402597403,0.12120191051009127,48.785595274590825,0.23825733603017088,23.53760904151124,5.708457927527093
Freischuetz,aac,35,3.0,2.0,0.0010065754528228114,0.001705509756548082,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34285714285714286,0.1235373611173427,0.0,0.0,0.33035714285714285,0.1103681224311603,48.8858640398298,0.1593984617211845,-24.950701032366073,10.719976805913792
Freischuetz,background_noise,56,3.0,2.0,0.0012421590204213105,0.0029839147285449234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34486607142857145,0.10228354719808787,0.0,0.0,0.33482142857142855,0.11477642975162893,48.73242807388306,0.2523487235266703,48.739106110164094,5.48156809656416
Freischuetz,dac,56,3.0,2.0,0.001600928935869109,0.0049611244095081825,1.0,0.0,1.0,0.0,0.0,0.0,0.3627232142857143,0.11836146662882102,0.0,0.0,0.3359375,0.11844562731255336,0.0,0.0,0.2924107142857143,0.1050530948727687,48.76943506513323,0.2038184250869168,6.902643397450447,2.5164753585595427
Freischuetz,dynamic_range_compression,7,3.0,2.0,0.0033425487786838794,0.005908929740671656,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.33035714285714285,0.14060728346449664,0.0,0.0,0.3392857142857143,0.09364364715804925,48.97439357212612,0.12969347100304168,21.452795573643275,5.307694059587015
Freischuetz,dynamic_range_expansion,28,3.0,2.0,0.0011633905943091497,0.0035516630119860355,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34151785714285715,0.1266433745759311,0.0,0.0,0.328125,0.114057913312868,48.81412206377302,0.17591368653928036,39.08468379293169,27.605264700512713
Freischuetz,encodec,56,3.0,2.0,0.0007407570588651619,0.0021855417639746384,1.0,0.0,1.0,0.0,0.0,0.0,0.34486607142857145,0.11079503643598859,0.0,0.0,0.34933035714285715,0.11376814128437285,0.0,0.0,0.33482142857142855,0.10592687962236313,48.76650817053659,0.21122659641962985,12.821139880589076,2.195671833746009
Freischuetz,eq,42,3.0,2.0,0.0014539325663041067,0.0038222549816325406,1.0,0.0,1.0,0.0,0.9761904761904762,0.15245533898649638,0.9970238095238095,0.019056917373312048,0.0,0.0,0.3482142857142857,0.10923065061608671,0.0,0.0,0.31101190476190477,0.1145060035905395,48.87880870274135,0.20386762020091456,11.893873441786994,4.731073904801451
Freischuetz,gain,14,3.0,2.0,0.00010395329933894358,0.00019585153252887433,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.375,0.09739921530924744,0.0,0.0,0.29017857142857145,0.10980690960936469,48.63952364240374,0.17347241492074522,82.5783555167062,3.5668885367267245
Freischuetz,gaussian_noise,42,3.0,2.0,0.0009343685930748894,0.0017218317346977359,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.35119047619047616,0.11407004700438571,0.0,0.0,0.3541666666666667,0.10446386175466812,48.89547983805338,0.23123951752641125,49.73641268412272,4.713243921752851
Freischuetz,highpass,35,3.0,2.0,0.00048310404299457257,0.0008540278254051386,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3517857142857143,0.10573479530776758,0.0,0.0,0.3625,0.1,48.80751833234515,0.2088157472474337,9.924436352934157,10.28385734021183
Freischuetz,limiter,42,3.0,2.0,0.002904250813691997,0.005764727874380351,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3125,0.12045301395742894,0.0,0.0,0.30505952380952384,0.1251504904762259,48.853983924502415,0.2636443783192015,22.587371985117596,17.517513578803616
Freischuetz,mp3,21,3.0,2.0,0.0018066832263599019,0.003188547326403143,1.0,0.0,1.0,0.0,0.8571428571428571,0.34992710611188255,0.9821428571428571,0.05503941074079444,0.0,0.0,0.3630952380952381,0.1476742408339914,0.0,0.0,0.37797619047619047,0.12717774178108035,48.772453853062224,0.3099677715366269,42.78006553649902,9.579768290826307
Freischuetz,quantization,7,3.0,2.0,0.000639664065618353,0.00140299507339266,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.30357142857142855,0.09698911152857335,0.0,0.0,0.3392857142857143,0.09942436362196468,48.762519291469026,0.20449559158154257,51.54943084716797,0.005617552184125194
Freischuetz,reverb,21,3.0,2.0,0.001060300235827667,0.001553518563146708,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34226190476190477,0.12292783588132966,0.0,0.0,0.3005952380952381,0.11348616645796201,48.887140183221724,0.19467588039646516,8.912780307588124,1.6684709138608216
Freischuetz,time_jitter,14,3.0,2.0,0.00018345274708401915,0.00034745760029508075,1.0,0.0,1.0,0.0,0.9285714285714286,0.25753937681885636,0.9955357142857143,0.016096211051178522,0.0,0.0,0.35714285714285715,0.09861929479631484,0.0,0.0,0.30357142857142855,0.0940683370790423,48.64914403642927,0.17517372911117768,37.09853036063058,2.402935790331126
Freischuetz,time_stretch,7,3.0,2.0,9.272309652072406e-05,0.00017168841873497776,1.0,0.0,1.0,0.0,0.0,0.0,0.49107142857142855,0.131222664791956,0.0,0.0,0.32142857142857145,0.13946874421261882,0.0,0.0,0.3125,0.08838834764831845,48.70053809029715,0.2052632602669355,-13.21981184397425,6.970858506285455
Freischuetz,vorbis,28,3.0,2.0,0.0007791296575081649,0.0023738972505248346,1.0,0.0,1.0,0.0,0.6428571428571429,0.47915742374995496,0.8950892857142857,0.1948367931285892,0.0,0.0,0.33035714285714285,0.12371791482634838,0.0,0.0,0.3392857142857143,0.1075142373106455,48.67432376316616,0.15454548947307029,25.44029372079032,4.929856302361891
GuitarSet,aac,11,2.4545454545454546,1.8763424945954814,0.01053451920266852,0.01615067235863893,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4090909090909091,0.12602882393647064,0.0,0.0,0.36363636363636365,0.10929195489585992,49.43607850508256,0.3084076429392981,-24.659339232878253,14.324267139824647
GuitarSet,background_noise,23,2.4782608695652173,1.7905443723455652,0.004617733748644831,0.004409378262007732,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3125,0.13290238326779874,0.0,0.0,0.3233695652173913,0.14234566145335645,49.37196117898692,0.16084651744429965,42.95741222215735,5.896239547026209
GuitarSet,dac,31,2.7096774193548385,1.9209128943173426,0.007631235615331017,0.008576580648930049,1.0,0.0,1.0,0.0,0.0,0.0,0.35685483870967744,0.15242788847932096,0.0,0.0,0.28024193548387094,0.11097870116550712,0.0,0.0,0.3346774193548387,0.12250368976583315,49.53921447261687,0.2228222355627648,7.359380637445757,2.5959227366194906
GuitarSet,dynamic_range_compression,39,2.8461538461538463,1.981173720213524,0.005158235612235771,0.006647619366476743,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.35096153846153844,0.1016839235847135,0.0,0.0,0.32532051282051283,0.11600616071060164,49.51963013869066,0.24521395851553726,25.427984262124085,18.071620186966683
GuitarSet,dynamic_range_expansion,30,2.7,1.9519221295943134,0.003162375537590334,0.004593980627803474,1.0,0.0,1.0,0.0,0.9666666666666667,0.17950549357115012,0.9958333333333333,0.022438186696393764,0.0,0.0,0.33125,0.11427990126585398,0.0,0.0,0.325,0.12747548783981963,49.43221524556478,0.27005595650859077,19.08709115187327,24.05600644405174
GuitarSet,encodec,37,2.675675675675676,1.8895738695079496,0.012241777386677541,0.020596568634657194,1.0,0.0,1.0,0.0,0.0,0.0,0.36317567567567566,0.11700607608479004,0.0,0.0,0.3293918918918919,0.13681389683322018,0.0,0.0,0.3091216216216216,0.12065588802992279,49.60807501303183,0.5162428645996404,10.148910458023483,3.1699767687251637
GuitarSet,eq,39,2.1538461538461537,1.7326200929770414,0.007884110555236289,0.014242875732795972,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3541666666666667,0.12685588094335448,0.0,0.0,0.34615384615384615,0.12079974708360737,49.42139209845127,0.2588488356757058,12.717813271742601,2.4594366318470504
